,상품명,가격
93,백산수 무라벨 2L 24병 /생수전문배송,"21,200원"
94,용가리치킨300g 4봉 (쿠폰적용시11900원),"14,870원"
95,오동통면 4입 8팩 32봉 1박스,"18,900원"
96,맥심 화이트골드 360T (180T+180T)쿠폰가37900원,"40,900원"
97,이색 돼지고기 목마호크 600gX2팩(목살+부채살),"13,700원"
98,아르떼 KF94 새부리형 국산 마스크 대형 소형 키즈 화이트 블랙 컬러 여름용 식약처인증 개별포장,"24,900원"
99,푸드조아 이천쌀 알찬미10kg+10kg 21년산 이천남부농협 (쿠폰가 39250원),"46,900원"
100,블랙 도톰한 아기물티슈 72매 캡형 10+10팩,"34,200원"
101,나주배 2022년 햇배 원황 3kg (5-7과) 가정용,"13,900원"
102,2022 그램 12세대 16ZD90Q-GX56K 스마일페이 138만/인텔I5/램16G/SSD256G,"1,659,000원"
103,만화로 보는 3분 철학 (고대철학/중세근대철학/현대철학) 전3권,"49,600원"
104,천하일미 홍석천 이원일의 전통 갈비찜 500g x 8팩,"89,900원"
105,엄마옷로즈맘 시즌오프특가/5060중년여성의류/마담,"12,900원"
106,21년산 이맛쌀 20kg,"47,900원"
107,슈가버블 주방세제 레몬크러쉬 470ml x4개 (+스위트망고 470ml x2개 더),"12,400원"
108,경기미 추청 아끼바레 쌀 10kg+10kg 21년산 상등급 박스포장,"47,900원"
109,(카드가능) 기프트코드 10만원 / 구글 기프트카드,"95,000원"
110,앤드지 22S/S 슬림핏 사이드밴딩 슬랙스 1+1(블랙바지증정) BLC2PP1002,"22,800원"
111,네오플램 위글위글멀티핸들팬4종세트,"41,860원"
112,미국산 소 LA갈비 1kg 3팩,"89,100원"
113,하프클럽/모나리자 모나리자 네이처 화장지 22m 30롤 3팩,"29,800원"
114,심플쿡냉동밥전자렌지용기(400ml)24개 밥 냉동 보관,"10,000원"
115,루테인지아잔틴 아스타잔틴 지아잔틴 3박스(총3개월분),"35,900원"
116,냉장특대사이즈현지직배송 완도 활 전복 20마리,"49,900원"
117,에뛰드 추석빅세일 `UPTO 73%,"25,000원"
118,쉐푸드 모짜렐라 치즈스틱 1kg 2팩,"23,900원"
119,(아웃백/빕스) 페이즈 기프트 외식 5만원권,"44,500원"
120,DHA 참치 100g 원터치 15개,"25,900원"
121,퓨리나 캣차우 고양이사료 11.3kg 1개,"45,000원"
122,팸퍼스 2022 에어차차 팬티형 6단계 (42 X 3),"69,900원"
123,네스프레소 에센자 미니 C30 캡슐커피머신 화이트,"166,470원"
124,하이드로 국산 3중 KF80 황사마스크 대형 300매 미세먼지 차단,"22,400원"
125,매스티안 팩토슐레 수학 1~3단계 세트 선택구매,"54,000원"
126,하프클럽/유한킴벌리 유한킴벌리 새부리형 컴포트에어 kf-ad 마스크 100매 여름용,"24,720원"
127,땡큐 3겹(30M30롤)X3개 화장지 휴지,"32,900원"
128,티젠 콤부차 4가지맛 혼합 40스틱 + 파인보틀,"20,900원"
129,(아이허브) CGN 다크초콜릿 분리유청단백질 2270g 웨이 프로틴 빠른직구,"87,520원"
130,아몬드 브리즈 오리지널 190ML 48팩,"31,900원"
131,해피바스 스마일 바디워시900g 3종세트 유자/체리/자몽,"15,000원"
132,육개장사발면 24개입 박스,"18,900원"
133,카스타드12P x 5박스,"19,800원"
134,설탕대신 에리스리톨 스테비아 1kg 효소처리 스테비아설탕,"12,100원"
135,CR 남성 캐주얼화 남여운동화 균일가,"14,900원"
136,릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),"20,000원"
137,오뚜기 불고기 피자 396g,"7,280원"
138,칠성 사이다 210ml x 30캔/탄산음료/사이다/음료수,"16,500원"
139,햇반 210g x24입,"27,810원"
140,진한겔 알카파워 세탁세제 2.1L 6개 (일반),"28,900원"
141,퍼실 딥클린 라벤더 일반용 1.8L x6개 세탁세제,"60,000원"
142,로지텍코리아 M590 FLOW기능 무소음 무선마우스 블랙 /30,"39,900원"
143,(신세계강남점)삼각팬티 5종SET 택1(MHZUUP035-SET),"38,390원"
144,펩시콜라 제로 슈거라임 355ml 24캔 캔음료/탄산음료/제로콜라/음료수/펩시제로,"19,800원"
145,비타500 100ml 50입,"21,900원"
146,프리미엄 우삼겹(3초구이 샤브) 250gX4팩,"15,700원"
147,더프리미엄 210mlx4 트리트먼트,"35,500원"
148,2+1 균일가 양말 선물세트 덧신 발목 중목 장목 정장 패션 학생 남성 여성 골지 면 흰 검정 스포츠,"13,900원"
149,샤오미 NexTool 6in1 휴대용 아웃도어 손전등 야외용 캠핑용 LED 손전등,"24,800원"
150,(20%) 비움 KF94 국산 오나미 한예슬 새부리형 마스크,"18,910원"
151,신라면 큰사발 한박스 (16개입),"15,900원"
152,가정식 생포기김치10Kg,"43,900원"
153,2021 맥스드라이 밴드/팬티 1~7단계 2박스,"88,620원"
154,rTG 알티지 오메가3 비타민D 6개월분(180캡슐) 비타민E 비타민A 4종 복합 기능성,"28,900원"
155,DCOVERS/디커버스/반팔티/티셔츠/여성/남자/빅사이즈,"7,900원"
156,오하루x황성주 100 국내산 서리태 맷돌 두유 80팩,"46,920원"
157,레인OK 프리미엄 발수코팅 에탄올워셔 1800ML 3개 + 10%중복쿠폰,"14,500원"
158,풀무원건강생활 녹용진50ml (10병)선물세트3개/총30병/쇼핑백증정/소비자가 15만원,"61,500원"
159,20%+12% 미리 준비하는 아가방 역시즌 외의/내의류 빅세일,"17,500원"
160,아우라 건조기용 드라이시트 매그놀리아 40매,"10,200원"
161,미용티슈 (250매3입)X4개 화장지 휴지,"19,900원"
162,풀무원 국산콩 생나또 12팩 (6입x2팩),SOLD OUT
163,오뚜기 트러플 풍기 화덕피자 360g,"10,380원"
164,활기력 20ml 16병 (본사직영 / 쇼핑백동봉),"41,400원"
165,덴티메이트시즌2 초극세모 총30개 +사은품,"12,900원"
166,노브랜드 숯불 데리야끼 닭꼬치 800g,"12,980원"
167,기탄 유초등 전집 슬림형판 특가 베스트(자연관찰/우리전래/세계전래/세계창작/우리위인 선택구매),"34,000원"
168,(카드가능) 기프트코드 5만원 / 구글 기프트카드,"47,500원"
169,몬스터 에너지 울트라 355ml x 24캔,"37,900원"
170,다우니 엑스퍼트 실내 건조 1L 6개,"34,320원"
171,썬골드키위 점보 사이즈(146g이상) 22개입,"31,840원"
172,보타닉 블라썸 (27m30롤)X3개 화장지 휴지,"29,900원"
173,에버콜라겐 인앤업 비오틴 업 30주 + 1병 (6주) + 한가위 선물 증정,"247,000원"
174,아이러브베베물티슈핑크100매캡형X20팩,"13,900원"
175,매일 저지방 1% 멸균우유 200ml 48팩,"27,900원"
176,스팸 클래식 340g x9개,"39,420원"
177,깨끗한나라 순수시그니처 화장지 브라운 30m 30롤 2팩+웰치음료,"41,100원"
178,쥬디니스 대용량 디퓨저 500ml 1+1/100ml 방향제/리필,"13,900원"
179,전립소 쏘팔메토 2개월 (60캡슐) x2(4개월),"26,270원"
180,듀오백 이지풋 2단 발받침 + 에어커버,"46,000원"
181,카밀 핸드크림 베스트 100ml 3종 세트 + 쇼핑백,"13,900원"
182,(스클11620원) 테크 클린앤리프레시(겸용) 대용량 8L,"15,000원"
183,건강한 간 밀크씨슬 실리마린 6박스(총 6개월분),"25,900원"
184,완도 손질곰피미역 120gx6팩 데친쇠미역 국내산 7600원,"10,000원"
185,신상 여성운동화 신발 스니커즈 운동화 여자운동화,"10,000원"
186,기초뷰티1위 닥터지 한가위 브랜드 빅세일 (진정크림/클렌징폼/선크림),"29,900원"
187,고메 바르셀로나 칠리감바스피자,"9,970원"
188,썬플러스 초록사과 2.5kg(10-16과내외) 정품,"9,900원"
189,100억 보장 프로바이오틱스 생유산균 2박스/총 4개월분,"33,900원"
190,헬로 순수 3겹 천연펄프 화장지 30m 30롤 3팩 특가행사,"38,500원"
191,크리넥스 안심 키친타월 120매 12롤X2팩(1BOX),"25,000원"
192,무료체험2개 켄트 듀얼에디션 초극세모 칫솔 총 25P+케이스1+칫솔꽂이2,"44,180원"
193,리큐 세탁세제 진한겔 꿉꿉한냄새싹 2.1L6개 (공용),"30,900원"
194,제주 아쿠아플라넷 종합권|미구엘슈발리에특별전,"33,000원"
195,풀무원 노엣지피자 베이컨파이브치즈 376g,"7,980원"
196,비비고 소고기미역국 500g 6봉,"17,770원"
197,나이키外 인기 신상 반팔티/반바지/쇼트/운동복 모음,"11,900원"
198,상하목장 멸균우유 200ML 48팩,"41,900원"
199,로지텍코리아 PRO X SUPERLIGHT 무선마우스,"199,000원"
